4, 1, same, 2, 2, 1, 2, 1, 0.2173
4, 1, different, 1, 6, 5, 1, 1, 0.0002
4, 1, different, 1, 8, 2, 1, 1, 0.6156
4, 1, same, 1, 4, 2, 1, 1, 0.2528
4, 1, same, 1, 2, 1, 1, 1, 0.2323
4, 1, different, 2, 8, 1, 1, 0, 0.0009
4, 1, different, 2, 7, 2, 1, 0, 0.0726
4, 1, same, 1, 2, 1, 2, 0, 0.2012
4, 1, different, 2, 7, 2, 2, 1, 0.1535
4, 1, same, 2, 3, 2, 2, 1, 0.0604
4, 1, different, 1, 8, 1, 1, 1, 0.2404
4, 1, same, 2, 4, 2, 2, 1, 0.1911
4, 1, same, 1, 2, 4, 2, 0, 0.2737
4, 1, same, 2, 1, 3, 2, 1, 0.1787
4, 1, same, 1, 1, 3, 1, 1, 0.2622
4, 1, same, 1, 4, 2, 2, 0, 0.2984
4, 1, same, 2, 3, 1, 2, 1, 0.2275
4, 1, same, 2, 1, 4, 2, 1, 0.2127
4, 1, different, 2, 5, 8, 2, 1, 0.2237
4, 1, same, 1, 3, 1, 1, 1, 0.2496
4, 1, same, 2, 2, 1, 2, 1, 0.2705
4, 1, same, 2, 2, 4, 1, 0, 0.0001
4, 1, different, 2, 6, 8, 1, 0, 0.1888
4, 1, different, 2, 7, 1, 1, 0, 0.1421
4, 1, different, 1, 6, 8, 2, 0, 0.1906
4, 1, different, 2, 5, 7, 2, 1, 0.3596
4, 1, different, 1, 7, 2, 1, 1, 0.2416
4, 1, same, 1, 1, 4, 2, 0, 0.1784
4, 1, same, 1, 4, 1, 1, 1, 0.5966
4, 1, same, 2, 3, 2, 2, 1, 0.1620
4, 1, different, 1, 5, 8, 1, 1, 0.2936
4, 1, different, 1, 5, 7, 2, 0, 1.0278
4, 1, same, 1, 1, 3, 1, 1, 0.0010
4, 1, same, 2, 2, 4, 1, 0, 0.0918
4, 1, different, 1, 7, 1, 2, 0, 0.0001
4, 1, different, 2, 6, 5, 1, 0, 0.4778
4, 1, different, 1, 5, 7, 2, 0, 0.3170
4, 1, same, 2, 4, 1, 1, 0, 0.2039
4, 1, same, 1, 2, 4, 1, 1, 0.1609
4, 1, different, 2, 5, 7, 1, 0, 0.2075
4, 1, different, 1, 8, 1, 2, 0, 0.2463
4, 1, same, 2, 4, 2, 2, 1, 0.6207
4, 1, same, 1, 4, 1, 2, 0, 0.1825
4, 1, different, 2, 6, 5, 1, 0, 0.2348
4, 1, different, 1, 7, 1, 2, 0, 0.0067
4, 1, same, 2, 1, 4, 1, 0, 0.2212
4, 1, same, 1, 3, 1, 2, 0, 0.2234
4, 1, different, 2, 6, 8, 2, 1, 0.1254
4, 1, different, 2, 8, 2, 2, 1, 0.3525
4, 1, different, 1, 6, 5, 2, 0, 0.0002
4, 1, different, 1, 5, 8, 1, 1, 0.8775
4, 1, same, 1, 3, 2, 1, 1, 0.4508
4, 1, different, 1, 7, 2, 1, 1, 0.2238
4, 1, different, 2, 8, 1, 1, 0, 0.1920
4, 1, different, 1, 6, 8, 1, 1, 0.2716
4, 1, different, 2, 7, 1, 1, 0, 0.2113
4, 1, different, 2, 5, 8, 1, 0, 0.7338
4, 1, same, 2, 4, 1, 1, 0, 0.0399
4, 1, same, 1, 3, 2, 1, 1, 0.2698
4, 1, different, 2, 8, 2, 1, 0, 0.0512
4, 1, same, 1, 1, 4, 1, 1, 0.1261
4, 1, same, 2, 1, 3, 2, 1, 0.1878
4, 1, same, 2, 3, 1, 1, 0, 0.3180
4, 1, different, 1, 8, 2, 1, 1, 0.3597
