TVtest2, 5, 1, cat, 1, 1, 1!, m, 22, 013.jpg, singleton, cat_singleton, 0.0175, 0, 0.4600
TVtest2, 5, 1, cat, 2, 1, 2@, n, 19, 082.jpg, singleton, cat_singleton, 0.0176, 0, 0.4599
TVtest2, 5, 1, cat, 3, 1, 1!, n, 20, 080.jpg, singleton, cat_singleton, 0.0177, 0, 0.6599
TVtest2, 5, 1, cat, 4, 1, 1!, n, 1, 095.jpg, same, cat_same_pair1, 0.0178, 0, 0.4854
TVtest2, 5, 1, cat, 5, 1, 1!, n, 2, 003.jpg, same, cat_same_pair2, 0.0179, 0, 0.4347
TVtest2, 5, 1, cat, 6, 1, 2@, m, 9, 056.jpg, different, cat_different_pair1, 0.0180, 0, 0.5096
TVtest2, 5, 1, cat, 7, 1, 2@, 1!, 2, 003.jpg, same, cat_same_pair2_2back, 0.0182, 0, 0.4844
TVtest2, 5, 1, cat, 8, 1, 2@, n, 10, 089.jpg, different, cat_different_pair2, 0.0183, 0, 0.4590
TVtest2, 5, 1, cat, 9, 1, 1!, m, 7, 068.jpg, same, cat_same_pair1, 0.0184, 0, 0.2589
TVtest2, 5, 1, cat, 10, 1, 1!, m, 8, 042.jpg, same, cat_same_pair2, 0.0015, 0, 0.2824
TVtest2, 5, 1, cat, 11, 1, 1!, m, 5, 022.jpg, same, cat_same_pair1, 0.0019, 0, 0.2755
TVtest2, 5, 1, cat, 12, 1, 1!, m, 6, 008.jpg, same, cat_same_pair2, 0.0021, 0, 0.3252
TVtest2, 5, 1, cat, 13, 0, , n, 15, 070.jpg, different, cat_different_pair1, 0.0022, 0, -1.0000
TVtest2, 5, 1, cat, 14, 1, 1!, 2@, 6, 008.jpg, same, cat_same_pair2_2back, 0.0023, 0, 0.4766
TVtest2, 5, 1, cat, 15, 1, 1!, m, 16, 011.jpg, different, cat_different_pair2, 0.0025, 0, 0.2997
TVtest2, 5, 1, cat, 16, 1, 1!, n, 13, 037.jpg, different, cat_different_pair1, 0.0026, 0, 0.2995
TVtest2, 5, 1, cat, 17, 1, 2@, m, 14, 004.jpg, different, cat_different_pair2, 0.0027, 0, 0.4496
TVtest2, 5, 1, cat, 18, 1, 1!, m, 11, 031.jpg, different, cat_different_pair1, 0.0028, 0, 0.2743
TVtest2, 5, 1, cat, 19, 0, , n, 12, 050.jpg, different, cat_different_pair2, 0.0029, 0, -1.0000
TVtest2, 5, 1, cat, 20, 0, , 2@, 11, 031.jpg, different, cat_different_pair1_2back, 0.0030, 0, -1.0000
TVtest2, 5, 1, cat, 21, 0, , n, 18, 035.jpg, singleton, cat_singleton, 0.0031, 0, -1.0000
TVtest2, 5, 1, cat, 22, 0, , n, 3, 025.jpg, same, cat_same_pair1, 0.0032, 0, -1.0000
TVtest2, 5, 1, cat, 23, 0, , 1!, 18, 035.jpg, singleton, cat_singleton_2back, 0.0035, 0, -1.0000
TVtest2, 5, 1, cat, 24, 0, , 1!, 3, 025.jpg, same, cat_same_pair1_2back, 0.0034, 0, -1.0000
TVtest2, 5, 1, cat, 25, 0, , n, 4, 036.jpg, same, cat_same_pair2, 0.0036, 0, -1.0000
TVtest2, 5, 1, cat, 26, 0, , m, 21, 017.jpg, singleton, cat_singleton, 0.0037, 0, -1.0000
TVtest2, 5, 1, cat, 27, 0, , m, 23, 047.jpg, singleton, cat_singleton, 0.0040, 0, -1.0000
TVtest2, 5, 1, cat, 28, 1, 1!, m, 24, 015.jpg, singleton, cat_singleton, 0.0039, 0, 0.5485
TVtest2, 5, 1, cat, 29, 0, , 2@, 23, 047.jpg, singleton, cat_singleton_2back, 0.0041, 0, -1.0000
TVtest2, 5, 1, cat, 30, 1, 2@, n, 17, 061.jpg, singleton, cat_singleton, 0.0042, 0, 0.7979
TVtest2, 5, 2, nback, 1, 1, 1!, 1!, 33, 001.jpg, different, nback_different_pair1, 0.0049, 1, 0.3968
TVtest2, 5, 2, nback, 2, 1, 1!, 1!, 34, 065.jpg, different, nback_different_pair2, 0.0051, 1, 0.2471
TVtest2, 5, 2, nback, 3, 1, 1!, 2@, 33, 001.jpg, different, nback_different_pair1_2back, 0.0052, 0, 0.5208
TVtest2, 5, 2, nback, 4, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0053, 1, 0.4733
TVtest2, 5, 2, nback, 5, 1, 1!, 1!, 28, 020.jpg, same, nback_same_pair2, 0.0054, 1, 0.2964
TVtest2, 5, 2, nback, 6, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0056, 1, 0.6214
TVtest2, 5, 2, nback, 7, 1, 1!, 1!, 42, 052.jpg, singleton, nback_singleton, 0.0057, 1, 0.3712
TVtest2, 5, 2, nback, 8, 0, , 1!, 31, 028.jpg, same, nback_same_pair1, 0.0058, 0, -1.0000
TVtest2, 5, 2, nback, 9, 0, , 2@, 42, 052.jpg, singleton, nback_singleton_2back, 0.0059, 0, -1.0000
TVtest2, 5, 2, nback, 10, 0, , 1!, 32, 057.jpg, same, nback_same_pair2, 0.0059, 0, -1.0000
TVtest2, 5, 2, nback, 11, 0, , 1!, 48, 046.jpg, singleton, nback_singleton, 0.0062, 0, -1.0000
TVtest2, 5, 2, nback, 12, 0, , 2@, 32, 057.jpg, same, nback_same_pair2_2back, 0.0063, 0, -1.0000
TVtest2, 5, 2, nback, 13, 0, , 1!, 45, 024.jpg, singleton, nback_singleton, 0.0064, 0, -1.0000
TVtest2, 5, 2, nback, 14, 0, , 1!, 41, 005.jpg, singleton, nback_singleton, 0.0065, 0, -1.0000
TVtest2, 5, 2, nback, 15, 0, , 2@, 45, 024.jpg, singleton, nback_singleton_2back, 0.0067, 0, -1.0000
TVtest2, 5, 2, nback, 16, 0, , 1!, 44, 029.jpg, singleton, nback_singleton, 0.0068, 0, -1.0000
TVtest2, 5, 2, nback, 17, 0, , 1!, 29, 094.jpg, same, nback_same_pair1, 0.0069, 0, -1.0000
TVtest2, 5, 2, nback, 18, 0, , 1!, 30, 051.jpg, same, nback_same_pair2, 0.0070, 0, -1.0000
TVtest2, 5, 2, nback, 19, 0, , 1!, 46, 012.jpg, singleton, nback_singleton, 0.0070, 0, -1.0000
TVtest2, 5, 2, nback, 20, 0, , 2@, 30, 051.jpg, same, nback_same_pair2_2back, 0.0072, 0, -1.0000
TVtest2, 5, 2, nback, 21, 0, , 1!, 39, 087.jpg, different, nback_different_pair1, 0.0074, 0, -1.0000
TVtest2, 5, 2, nback, 22, 0, , 1!, 40, 058.jpg, different, nback_different_pair2, 0.0075, 0, -1.0000
TVtest2, 5, 2, nback, 23, 0, , 1!, 35, 049.jpg, different, nback_different_pair1, 0.0075, 0, -1.0000
TVtest2, 5, 2, nback, 24, 0, , 1!, 36, 039.jpg, different, nback_different_pair2, 0.0077, 0, -1.0000
TVtest2, 5, 2, nback, 25, 0, , 1!, 47, 071.jpg, singleton, nback_singleton, 0.0078, 0, -1.0000
TVtest2, 5, 2, nback, 26, 0, , 1!, 37, 077.jpg, different, nback_different_pair1, 0.0079, 0, -1.0000
TVtest2, 5, 2, nback, 27, 0, , 1!, 38, 059.jpg, different, nback_different_pair2, 0.0080, 0, -1.0000
TVtest2, 5, 2, nback, 28, 0, , 1!, 25, 006.jpg, same, nback_same_pair1, 0.0089, 0, -1.0000
TVtest2, 5, 2, nback, 29, 0, , 1!, 26, 078.jpg, same, nback_same_pair2, 0.0082, 0, -1.0000
TVtest2, 5, 2, nback, 30, 0, , 1!, 43, 066.jpg, singleton, nback_singleton, 0.0084, 0, -1.0000
TVtest2, 5, 3, cat, 1, 1, 1!, n, 18, 035.jpg, singleton, cat_singleton, 0.0092, 0, 0.4425
TVtest2, 5, 3, cat, 2, 1, 2@, m, 5, 022.jpg, same, cat_same_pair1, 0.0093, 0, 0.3988
TVtest2, 5, 3, cat, 3, 1, 2@, m, 6, 008.jpg, same, cat_same_pair2, 0.0094, 0, 0.2417
TVtest2, 5, 3, cat, 4, 1, 1!, 2@, 5, 022.jpg, same, cat_same_pair1_2back, 0.0096, 0, 0.2919
TVtest2, 5, 3, cat, 5, 1, 1!, n, 3, 025.jpg, same, cat_same_pair1, 0.0096, 0, 0.2673
TVtest2, 5, 3, cat, 6, 1, 1!, n, 4, 036.jpg, same, cat_same_pair2, 0.0098, 0, 0.1917
TVtest2, 5, 3, cat, 7, 1, 1!, m, 21, 017.jpg, singleton, cat_singleton, 0.0099, 0, 0.2415
TVtest2, 5, 3, cat, 8, 1, 1!, m, 7, 068.jpg, same, cat_same_pair1, 0.0100, 0, 0.2662
TVtest2, 5, 3, cat, 9, 1, 1!, 2@, 21, 017.jpg, singleton, cat_singleton_2back, 0.0101, 0, 0.3164
TVtest2, 5, 3, cat, 10, 1, 1!, m, 8, 042.jpg, same, cat_same_pair2, 0.0102, 0, 0.0004
TVtest2, 5, 3, cat, 11, 1, 1!, m, 22, 013.jpg, singleton, cat_singleton, 0.0104, 0, 0.2649
TVtest2, 5, 3, cat, 12, 1, 1!, n, 1, 095.jpg, same, cat_same_pair1, 0.0104, 0, 0.1411
TVtest2, 5, 3, cat, 13, 1, 1!, n, 2, 003.jpg, same, cat_same_pair2, 0.0106, 0, 0.1898
TVtest2, 5, 3, cat, 14, 1, 1!, m, 23, 047.jpg, singleton, cat_singleton, 0.0107, 0, 0.2156
TVtest2, 5, 3, cat, 15, 1, 1!, n, 19, 082.jpg, singleton, cat_singleton, 0.0108, 0, 0.0004
TVtest2, 5, 3, cat, 16, 1, 1!, m, 9, 056.jpg, different, cat_different_pair1, 0.0110, 0, 0.1653
TVtest2, 5, 3, cat, 17, 0, , 1!, 19, 082.jpg, singleton, cat_singleton_2back, 0.0111, 0, -1.0000
